experiment,tag,seed,run_directory,git_commit,final_communication_mb,final_avg_loss
exp_reverse_adaptive_noniid_alpha05,seed_42,42,exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/stage2_adaptive/20260502_232453,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.285933317500538
exp_reverse_adaptive_noniid_alpha05,seed_456,456,exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_205528,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.2460482394580654
exp_reverse_adaptive_noniid_alpha05,seed_456,456,exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/stage2_adaptive/20260503_053234,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.252132625111034
exp_reverse_adaptive_threshold_ablation,seed_42,42,exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_135740,7b95775212fc55e98ab17396d43f1d7be8565943,1973.125,1.2675122084617616
exp_reverse_adaptive_threshold_ablation,seed_42,42,exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_145912,7b95775212fc55e98ab17396d43f1d7be8565943,1753.125,1.2714175872008007
exp_reverse_adaptive_threshold_ablation,seed_42,42,exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_155523,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.27551357960701
exp_reverse_adaptive_threshold_ablation,seed_42,42,exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_165209,7b95775212fc55e98ab17396d43f1d7be8565943,1533.125,1.27551357960701
exp_reverse_adaptive_threshold_ablation,seed_42,42,exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.005/20260503_174607,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2735571080048878
exp_reverse_adaptive_threshold_ablation,seed_42,42,exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.01/20260503_205006,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2735571080048878
exp_reverse_adaptive_threshold_ablation,seed_42,42,exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.02/20260503_235201,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,1533.125,1.2735571080048878
